complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Description contains 'flood', 'flooded', 'ambulance' indicating Flooding with Urgent priority.",
GH-202402,Flooding,Standard,"Description contains 'flood', 'flooded' indicating Flooding with Standard priority.",NEEDS_REVIEW
GH-202406,Drain Blockage,Standard,Description contains 'drain' indicating Drain Blockage with Standard priority.,
GH-202407,Drain Blockage,Standard,"Description contains 'drain', 'drain block' indicating Drain Blockage with Standard priority.",
GH-202410,Pothole,Standard,Description contains 'pothole' indicating Pothole with Standard priority.,
GH-202411,Pothole,Urgent,"Description contains 'pothole', 'hospital' indicating Pothole with Urgent priority.",
GH-202412,Pothole,Urgent,"Description contains 'pothole', 'school' indicating Pothole with Urgent priority.",
GH-202417,Waste,Standard,"Description contains 'garbage', 'waste' indicating Waste with Standard priority.",NEEDS_REVIEW
GH-202420,Other,Low,Classified as Other based on overall description context.,NEEDS_REVIEW
GH-202422,Other,Urgent,Description contains 'collapse' indicating Other with Urgent priority.,NEEDS_REVIEW
GH-202424,Flooding,Standard,Description contains 'flood' indicating Flooding with Standard priority.,
GH-202428,Waste,Standard,Description contains 'waste' indicating Waste with Standard priority.,
GH-202432,Other,Low,Classified as Other based on overall description context.,NEEDS_REVIEW
GH-202448,Flooding,Standard,"Description contains 'flood', 'flooding' indicating Flooding with Standard priority.",NEEDS_REVIEW
GH-202438,Other,Low,Classified as Other based on overall description context.,NEEDS_REVIEW
