complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Description contains 'pothole' indicating Pothole with Standard priority.,
PM-202402,Pothole,Urgent,"Description contains 'pothole', 'child', 'school' indicating Pothole with Urgent priority.",
PM-202406,Flooding,Standard,"Description contains 'flood', 'flooded' indicating Flooding with Standard priority.",
PM-202408,Flooding,Standard,"Description contains 'flood', 'flooded' indicating Flooding with Standard priority.",NEEDS_REVIEW
PM-202410,Streetlight,Standard,"Description contains 'streetlight', 'lights out' indicating Streetlight with Standard priority.",
PM-202411,Streetlight,Urgent,"Description contains 'streetlight', 'flickering', 'sparking', 'hazard' indicating Streetlight with Urgent priority.",
PM-202413,Waste,Standard,"Description contains 'garbage', 'overflowing' indicating Waste with Standard priority.",
PM-202418,Noise,Standard,"Description contains 'music', 'midnight' indicating Noise with Standard priority.",
PM-202419,Road Damage,Standard,"Description contains 'road surface', 'cracked', 'sinking' indicating Road Damage with Standard priority.",
PM-202420,Road Damage,Urgent,"Description contains 'manhole', 'injury' indicating Road Damage with Urgent priority.",
PM-202427,Flooding,Standard,Description contains 'flood' indicating Flooding with Standard priority.,
PM-202428,Waste,Standard,"Description contains 'dead animal', 'not removed' indicating Waste with Standard priority.",
PM-202430,Streetlight,Standard,Description contains 'lights out' indicating Streetlight with Standard priority.,NEEDS_REVIEW
PM-202433,Waste,Standard,"Description contains 'waste', 'dumped' indicating Waste with Standard priority.",
PM-202446,Road Damage,Urgent,"Description contains 'broken', 'upturned', 'footpath', 'tiles', 'fell' indicating Road Damage with Urgent priority.",
